=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-P-n101/Vrp-Set-P-n101-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 100 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.13 | Feas 60 699.26 707.95 | Inf 1 736.51 736.51 | Div 0.30 -nan | Feas 0.99 1.00 | Pen 1.90 0.85
It  15000  14678 | T(s) 8.74 | Feas 51 691.29 694.00 | Inf 34 685.88 688.48 | Div 0.19 0.14 | Feas 0.28 1.00 | Pen 0.10 0.10
It  15500  15178 | T(s) 9.03 | Feas 42 691.29 694.08 | Inf 35 686.22 689.63 | Div 0.21 0.15 | Feas 0.20 1.00 | Pen 0.12 0.10
It  16000  15678 | T(s) 9.31 | Feas 55 691.29 693.62 | Inf 54 686.26 687.76 | Div 0.18 0.09 | Feas 0.23 1.00 | Pen 0.13 0.10
It  16500  16178 | T(s) 9.60 | Feas 63 691.29 693.54 | Inf 29 685.95 689.34 | Div 0.17 0.16 | Feas 0.20 1.00 | Pen 0.11 0.10
It  17000  16678 | T(s) 9.89 | Feas 39 691.29 694.13 | Inf 45 685.82 687.53 | Div 0.22 0.10 | Feas 0.19 1.00 | Pen 0.10 0.10
It  17500  17178 | T(s) 10.18 | Feas 46 691.29 693.66 | Inf 65 685.82 687.45 | Div 0.19 0.09 | Feas 0.21 1.00 | Pen 0.10 0.10
It  18000  17678 | T(s) 10.46 | Feas 32 691.29 694.18 | Inf 51 685.85 686.99 | Div 0.22 0.08 | Feas 0.22 1.00 | Pen 0.10 0.10
It  18500  18178 | T(s) 10.74 | Feas 38 691.29 694.05 | Inf 31 685.82 688.49 | Div 0.21 0.14 | Feas 0.19 1.00 | Pen 0.10 0.10
It  19000  18678 | T(s) 11.02 | Feas 27 691.29 695.06 | Inf 64 685.82 687.46 | Div 0.25 0.10 | Feas 0.17 1.00 | Pen 0.10 0.10
It  19500  19178 | T(s) 11.30 | Feas 60 691.29 694.12 | Inf 64 686.14 687.69 | Div 0.19 0.09 | Feas 0.16 1.00 | Pen 0.12 0.10
It  20000  19678 | T(s) 11.58 | Feas 28 691.29 694.09 | Inf 58 686.52 687.69 | Div 0.22 0.08 | Feas 0.22 1.00 | Pen 0.14 0.10
----- GENETIC ALGORITHM FINISHED AFTER 20324 ITERATIONS. TIME SPENT: 11.7664
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-P-n101/Vrp-Set-P-n101-hgs/0.hgs1.tour
