=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-X-n247/Vrp-Set-X-n247-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 64 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 246 CLIENTS AND 64 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.61 | NO-FEASIBLE | Inf 60 36201.05 36428.86 | Div -1.00 0.53 | Feas 0.00 1.00 | Pen 10.17 0.85
It   8000    620 | T(s) 23.35 | Feas 50 37462.87 37509.65 | Inf 38 36957.00 37102.77 | Div 0.32 0.38 | Feas 0.14 1.00 | Pen 37.77 0.10
It   8500   1120 | T(s) 24.65 | Feas 30 37462.87 37528.02 | Inf 48 36775.55 36862.54 | Div 0.37 0.36 | Feas 0.22 1.00 | Pen 27.29 0.10
It   9000     96 | T(s) 26.02 | Feas 32 37455.22 37526.17 | Inf 45 36757.40 36831.33 | Div 0.35 0.33 | Feas 0.21 1.00 | Pen 27.29 0.10
It   9500    596 | T(s) 27.43 | Feas 31 37455.22 37488.98 | Inf 40 36874.48 37018.59 | Div 0.29 0.39 | Feas 0.23 1.00 | Pen 32.75 0.10
It  10000    258 | T(s) 28.83 | Feas 28 37438.32 37481.14 | Inf 63 36874.48 36924.42 | Div 0.29 0.29 | Feas 0.16 1.00 | Pen 32.75 0.10
It  10500     36 | T(s) 30.19 | Feas 51 37437.65 37460.59 | Inf 58 36979.27 37057.42 | Div 0.19 0.31 | Feas 0.25 1.00 | Pen 39.29 0.10
It  11000    536 | T(s) 31.50 | Feas 25 37437.65 37453.22 | Inf 32 36880.39 36956.95 | Div 0.17 0.32 | Feas 0.20 1.00 | Pen 33.40 0.10
It  11500   1036 | T(s) 32.81 | Feas 54 37437.65 37444.34 | Inf 47 36777.69 36837.13 | Div 0.08 0.32 | Feas 0.17 1.00 | Pen 28.39 0.10
It  12000    146 | T(s) 34.21 | Feas 46 37436.77 37443.98 | Inf 28 36777.69 36860.81 | Div 0.11 0.37 | Feas 0.23 1.00 | Pen 28.39 0.10
It  12500    646 | T(s) 35.58 | Feas 30 37436.77 37456.18 | Inf 51 36755.60 36790.05 | Div 0.18 0.25 | Feas 0.22 1.00 | Pen 28.39 0.10
It  13000   1146 | T(s) 36.94 | Feas 49 37436.77 37448.94 | Inf 40 36755.60 36794.69 | Div 0.16 0.28 | Feas 0.20 1.00 | Pen 28.39 0.10
It  13500    377 | T(s) 38.33 | Feas 46 37436.17 37445.46 | Inf 37 37000.09 37163.65 | Div 0.15 0.33 | Feas 0.15 1.00 | Pen 40.88 0.10
It  14000    877 | T(s) 39.73 | Feas 30 37436.17 37456.06 | Inf 55 36899.16 36978.63 | Div 0.20 0.30 | Feas 0.21 1.00 | Pen 34.75 0.10
It  14500    142 | T(s) 41.06 | Feas 54 37435.90 37438.55 | Inf 28 36690.99 36857.84 | Div 0.11 0.41 | Feas 0.22 1.00 | Pen 25.11 0.10
It  15000     84 | T(s) 42.51 | Feas 41 37435.20 37449.94 | Inf 65 36816.52 36852.31 | Div 0.16 0.26 | Feas 0.20 1.00 | Pen 30.13 0.10
It  15500     99 | T(s) 43.90 | Feas 39 37434.26 37447.35 | Inf 40 36677.59 36743.79 | Div 0.17 0.29 | Feas 0.20 1.00 | Pen 25.61 0.10
It  16000     72 | T(s) 45.20 | Feas 63 37434.16 37436.17 | Inf 59 36691.93 36745.34 | Div 0.08 0.28 | Feas 0.14 1.00 | Pen 26.12 0.10
It  16500    572 | T(s) 46.44 | Feas 42 37434.16 37435.46 | Inf 25 36582.23 36686.60 | Div 0.07 0.35 | Feas 0.23 1.00 | Pen 22.20 0.10
It  17000   1072 | T(s) 47.74 | Feas 51 37434.16 37434.94 | Inf 42 36474.53 36496.90 | Div 0.06 0.24 | Feas 0.26 1.00 | Pen 18.87 0.10
It  17500   1572 | T(s) 49.02 | Feas 50 37434.16 37434.61 | Inf 63 36441.56 36506.40 | Div 0.05 0.26 | Feas 0.30 1.00 | Pen 19.63 0.10
It  18000    377 | T(s) 50.38 | Feas 50 37434.15 37434.42 | Inf 27 36473.29 36560.46 | Div 0.04 0.32 | Feas 0.00 1.00 | Pen 20.43 0.10
It  18500    877 | T(s) 51.78 | Feas 43 37434.15 37435.01 | Inf 31 36636.72 36677.66 | Div 0.07 0.26 | Feas 0.10 1.00 | Pen 24.51 0.10
It  19000   1377 | T(s) 53.13 | Feas 35 37434.15 37434.63 | Inf 25 36504.81 36611.25 | Div 0.05 0.33 | Feas 0.00 1.00 | Pen 21.25 0.10
It  19500   1877 | T(s) 54.53 | Feas 37 37434.15 37434.68 | Inf 29 36521.51 36578.71 | Div 0.06 0.27 | Feas 0.18 1.00 | Pen 21.68 0.10
It  20000   2377 | T(s) 55.89 | Feas 55 37434.15 37434.42 | Inf 55 36521.04 36537.26 | Div 0.04 0.22 | Feas 0.17 1.00 | Pen 21.68 0.10
It  20500   2877 | T(s) 57.35 | Feas 54 37434.15 37434.83 | Inf 44 36538.81 36573.10 | Div 0.06 0.27 | Feas 0.18 1.00 | Pen 22.11 0.10
It  21000   3377 | T(s) 58.71 | Feas 49 37434.15 37436.59 | Inf 64 36526.65 36554.13 | Div 0.09 0.23 | Feas 0.20 1.00 | Pen 22.11 0.10
It  21500   3877 | T(s) 60.02 | Feas 57 37434.15 37434.71 | Inf 39 36390.66 36444.40 | Div 0.06 0.30 | Feas 0.18 1.00 | Pen 18.80 0.10
It  22000   4377 | T(s) 61.48 | Feas 40 37434.15 37434.78 | Inf 50 36563.28 36624.76 | Div 0.06 0.29 | Feas 0.15 1.00 | Pen 23.01 0.10
It  22500   4877 | T(s) 62.83 | Feas 35 37434.15 37434.84 | Inf 47 36435.34 36464.47 | Div 0.06 0.24 | Feas 0.16 1.00 | Pen 19.95 0.10
It  23000   5377 | T(s) 64.17 | Feas 62 37434.15 37434.59 | Inf 52 36442.86 36462.39 | Div 0.05 0.19 | Feas 0.22 1.00 | Pen 20.34 0.10
It  23500   5877 | T(s) 65.52 | Feas 58 37434.15 37434.54 | Inf 51 36441.13 36472.47 | Div 0.05 0.23 | Feas 0.17 1.00 | Pen 20.34 0.10
It  24000   6377 | T(s) 66.86 | Feas 48 37434.15 37434.40 | Inf 45 36441.13 36462.74 | Div 0.04 0.21 | Feas 0.16 1.00 | Pen 20.34 0.10
It  24500   6877 | T(s) 68.20 | Feas 54 37434.15 37434.32 | Inf 56 36472.42 36503.60 | Div 0.03 0.22 | Feas 0.00 1.00 | Pen 21.17 0.10
It  25000   7377 | T(s) 69.55 | Feas 57 37434.15 37434.52 | Inf 31 36486.31 36531.74 | Div 0.05 0.24 | Feas 0.34 1.00 | Pen 21.59 0.10
It  25500   7877 | T(s) 70.92 | Feas 47 37434.15 37434.46 | Inf 56 36364.55 36388.82 | Div 0.04 0.19 | Feas 0.00 1.00 | Pen 18.72 0.10
It  26000   8377 | T(s) 72.30 | Feas 44 37434.15 37435.31 | Inf 61 36540.66 36551.53 | Div 0.07 0.14 | Feas 0.21 1.00 | Pen 22.91 0.10
It  26500   8877 | T(s) 73.72 | Feas 61 37434.15 37434.75 | Inf 51 36750.91 36786.70 | Div 0.06 0.22 | Feas 0.24 1.00 | Pen 28.04 0.10
It  27000   9377 | T(s) 75.08 | Feas 43 37434.15 37434.84 | Inf 33 36574.96 36604.05 | Div 0.06 0.22 | Feas 0.23 1.00 | Pen 23.84 0.10
It  27500   9877 | T(s) 76.42 | Feas 57 37434.15 37434.38 | Inf 41 36297.44 36327.80 | Div 0.04 0.21 | Feas 0.32 1.00 | Pen 17.22 0.10
It  28000  10377 | T(s) 77.83 | Feas 40 37434.15 37435.23 | Inf 56 36817.02 36841.83 | Div 0.07 0.19 | Feas 0.22 1.00 | Pen 29.76 0.10
It  28500  10877 | T(s) 79.23 | Feas 53 37434.15 37442.23 | Inf 40 36839.17 36894.22 | Div 0.10 0.24 | Feas 0.15 1.00 | Pen 30.96 0.10
It  29000  11377 | T(s) 80.63 | Feas 40 37434.15 37435.05 | Inf 55 36372.73 36388.70 | Div 0.07 0.14 | Feas 0.26 1.00 | Pen 19.01 0.10
It  29500  11877 | T(s) 82.02 | Feas 46 37434.15 37434.70 | Inf 48 36532.38 36540.16 | Div 0.06 0.12 | Feas 0.24 1.00 | Pen 22.82 0.10
It  30000  12377 | T(s) 83.34 | Feas 26 37434.15 37437.28 | Inf 28 36388.70 36402.00 | Div 0.10 0.15 | Feas 0.28 1.00 | Pen 19.39 0.10
It  30500  12877 | T(s) 84.68 | Feas 32 37434.15 37434.71 | Inf 58 36404.99 36414.99 | Div 0.06 0.13 | Feas 0.30 1.00 | Pen 19.78 0.10
It  31000  13377 | T(s) 86.07 | Feas 39 37434.15 37434.67 | Inf 54 36570.18 36583.99 | Div 0.06 0.15 | Feas 0.23 1.00 | Pen 23.74 0.10
It  31500  13877 | T(s) 87.37 | Feas 55 37434.15 37434.32 | Inf 27 36421.61 36464.53 | Div 0.04 0.23 | Feas 0.21 1.00 | Pen 20.18 0.10
It  32000  14377 | T(s) 88.72 | Feas 45 37434.15 37434.43 | Inf 33 36438.56 36457.35 | Div 0.04 0.19 | Feas 0.24 1.00 | Pen 20.58 0.10
It  32500  14877 | T(s) 90.06 | Feas 49 37434.15 37434.49 | Inf 33 36455.85 36484.97 | Div 0.05 0.22 | Feas 0.20 1.00 | Pen 20.99 0.10
It  33000  15377 | T(s) 91.38 | Feas 37 37434.15 37434.80 | Inf 34 36473.48 36486.48 | Div 0.06 0.17 | Feas 0.00 1.00 | Pen 21.41 0.10
It  33500  15877 | T(s) 92.73 | Feas 41 37434.15 37436.71 | Inf 32 36491.47 36529.11 | Div 0.09 0.19 | Feas 0.19 1.00 | Pen 21.84 0.10
It  34000  16377 | T(s) 94.10 | Feas 30 37434.15 37435.87 | Inf 58 36250.16 36266.92 | Div 0.08 0.16 | Feas 0.29 1.00 | Pen 16.10 0.10
It  34500  16877 | T(s) 95.45 | Feas 54 37434.15 37434.40 | Inf 59 36385.37 36393.76 | Div 0.04 0.12 | Feas 0.21 1.00 | Pen 19.32 0.10
It  35000  17377 | T(s) 96.78 | Feas 58 37434.15 37434.34 | Inf 62 36401.59 36409.93 | Div 0.04 0.13 | Feas 0.00 1.00 | Pen 19.70 0.10
It  35500  17877 | T(s) 98.12 | Feas 63 37434.15 37434.42 | Inf 27 36435.02 36459.62 | Div 0.04 0.18 | Feas 0.22 1.00 | Pen 20.50 0.10
It  36000  18377 | T(s) 99.41 | Feas 52 37434.15 37434.43 | Inf 25 36320.52 36351.99 | Div 0.04 0.20 | Feas 0.27 1.00 | Pen 17.77 0.10
It  36500  18877 | T(s) 100.79 | Feas 64 37434.15 37434.41 | Inf 43 36487.72 36496.55 | Div 0.04 0.13 | Feas 0.00 1.00 | Pen 21.75 0.10
It  37000    190 | T(s) 102.14 | Feas 27 37434.15 37440.47 | Inf 53 36350.68 36359.10 | Div 0.10 0.12 | Feas 0.18 1.00 | Pen 18.49 0.10
It  37500    690 | T(s) 103.54 | Feas 54 37434.15 37435.32 | Inf 44 36525.54 36542.60 | Div 0.08 0.17 | Feas 0.24 1.00 | Pen 22.63 0.10
It  38000   1190 | T(s) 104.92 | Feas 46 37434.15 37434.83 | Inf 27 36524.63 36535.94 | Div 0.07 0.16 | Feas 0.22 1.00 | Pen 22.63 0.10
It  38500    204 | T(s) 106.25 | Feas 25 37434.09 37437.40 | Inf 26 36398.21 36437.00 | Div 0.10 0.22 | Feas 0.00 1.00 | Pen 19.62 0.10
It  39000    704 | T(s) 107.65 | Feas 33 37434.09 37437.97 | Inf 30 36581.54 36595.70 | Div 0.10 0.17 | Feas 0.25 1.00 | Pen 24.02 0.10
It  39500   1204 | T(s) 109.07 | Feas 55 37434.09 37436.48 | Inf 36 36963.26 37036.83 | Div 0.10 0.18 | Feas 0.10 1.00 | Pen 34.58 0.10
It  40000   1704 | T(s) 110.44 | Feas 56 37434.09 37436.92 | Inf 48 36621.32 36637.81 | Div 0.10 0.15 | Feas 0.19 1.00 | Pen 24.99 0.10
It  40500   2204 | T(s) 111.83 | Feas 38 37434.09 37435.06 | Inf 31 36466.14 36480.14 | Div 0.09 0.13 | Feas 0.22 1.00 | Pen 21.24 0.10
It  41000   2704 | T(s) 113.16 | Feas 59 37434.09 37434.36 | Inf 55 36332.34 36338.50 | Div 0.06 0.10 | Feas 0.27 1.00 | Pen 18.05 0.10
It  41500   3204 | T(s) 114.49 | Feas 30 37434.09 37438.83 | Inf 60 36347.50 36370.46 | Div 0.12 0.16 | Feas 0.19 1.00 | Pen 18.41 0.10
It  42000   3704 | T(s) 115.85 | Feas 55 37434.09 37434.48 | Inf 65 36258.05 36271.82 | Div 0.07 0.13 | Feas 0.29 1.00 | Pen 16.28 0.10
It  42500   4204 | T(s) 117.26 | Feas 54 37434.09 37434.65 | Inf 46 36428.00 36461.14 | Div 0.08 0.20 | Feas 0.00 1.00 | Pen 20.33 0.10
It  43000   4704 | T(s) 118.69 | Feas 32 37434.09 37434.84 | Inf 41 36597.12 36611.20 | Div 0.09 0.15 | Feas 0.21 1.00 | Pen 24.40 0.10
It  43500   5204 | T(s) 120.08 | Feas 36 37434.09 37438.47 | Inf 26 36617.13 36633.77 | Div 0.12 0.16 | Feas 0.15 1.00 | Pen 24.88 0.10
It  44000   5704 | T(s) 121.45 | Feas 32 37434.09 37435.30 | Inf 51 36329.24 36343.95 | Div 0.09 0.15 | Feas 0.28 1.00 | Pen 17.98 0.10
It  44500   6204 | T(s) 122.81 | Feas 55 37434.09 37434.96 | Inf 44 36359.74 36386.80 | Div 0.09 0.19 | Feas 0.27 1.00 | Pen 18.71 0.10
It  45000   6704 | T(s) 124.16 | Feas 55 37434.09 37434.76 | Inf 64 36375.46 36406.69 | Div 0.08 0.20 | Feas 0.29 1.00 | Pen 19.08 0.10
It  45500   7204 | T(s) 125.55 | Feas 53 37434.09 37434.31 | Inf 50 36268.88 36280.86 | Div 0.06 0.15 | Feas 0.27 1.00 | Pen 16.54 0.10
It  46000   7704 | T(s) 126.91 | Feas 49 37434.09 37435.54 | Inf 64 36424.50 36433.03 | Div 0.10 0.13 | Feas 0.01 1.00 | Pen 20.25 0.10
It  46500   8204 | T(s) 128.27 | Feas 45 37434.09 37435.38 | Inf 25 36441.51 36472.67 | Div 0.10 0.20 | Feas 0.21 1.00 | Pen 20.65 0.10
It  47000   8704 | T(s) 129.61 | Feas 63 37434.09 37434.57 | Inf 50 36441.51 36457.16 | Div 0.07 0.17 | Feas 0.24 1.00 | Pen 20.65 0.10
It  47500   9204 | T(s) 130.91 | Feas 54 37434.09 37434.38 | Inf 34 36326.15 36336.75 | Div 0.06 0.14 | Feas 0.31 1.00 | Pen 17.91 0.10
It  48000   9704 | T(s) 132.28 | Feas 62 37434.09 37434.42 | Inf 54 36494.60 36501.05 | Div 0.07 0.11 | Feas 0.23 1.00 | Pen 21.92 0.10
It  48500  10204 | T(s) 133.59 | Feas 48 37434.09 37435.40 | Inf 29 36494.60 36528.98 | Div 0.10 0.20 | Feas 0.22 1.00 | Pen 21.92 0.10
It  49000  10704 | T(s) 134.94 | Feas 55 37434.09 37434.56 | Inf 52 36513.01 36521.61 | Div 0.07 0.13 | Feas 0.22 1.00 | Pen 22.35 0.10
It  49500  11204 | T(s) 136.34 | Feas 59 37434.09 37434.96 | Inf 32 36372.18 36391.31 | Div 0.08 0.18 | Feas 0.18 1.00 | Pen 19.00 0.10
It  50000  11704 | T(s) 137.66 | Feas 37 37434.09 37436.55 | Inf 29 36404.42 36433.87 | Div 0.11 0.21 | Feas 0.00 1.00 | Pen 19.77 0.10
It  50500  12204 | T(s) 139.08 | Feas 51 37434.09 37434.37 | Inf 27 36569.51 36620.87 | Div 0.06 0.21 | Feas 0.19 1.00 | Pen 23.72 0.10
It  51000  12704 | T(s) 140.41 | Feas 38 37434.09 37434.87 | Inf 50 36421.03 36430.98 | Div 0.08 0.13 | Feas 0.17 1.00 | Pen 20.16 0.10
It  51500  13204 | T(s) 141.80 | Feas 28 37434.09 37440.61 | Inf 45 36437.97 36458.16 | Div 0.12 0.17 | Feas 0.21 1.00 | Pen 20.57 0.10
It  52000  13704 | T(s) 143.13 | Feas 65 37434.09 37434.75 | Inf 48 36455.24 36475.11 | Div 0.08 0.18 | Feas 0.17 1.00 | Pen 20.98 0.10
It  52500  14204 | T(s) 144.45 | Feas 25 37434.09 37446.03 | Inf 53 36323.07 36335.67 | Div 0.14 0.15 | Feas 0.32 1.00 | Pen 17.83 0.10
It  53000  14704 | T(s) 145.87 | Feas 28 37434.09 37451.76 | Inf 38 36490.84 36499.89 | Div 0.17 0.12 | Feas 0.16 1.00 | Pen 21.83 0.10
It  53500  15204 | T(s) 147.22 | Feas 42 37434.09 37434.36 | Inf 52 36353.33 36359.32 | Div 0.07 0.11 | Feas 0.25 1.00 | Pen 18.55 0.10
It  54000  15704 | T(s) 148.55 | Feas 40 37434.09 37434.37 | Inf 52 36368.91 36378.57 | Div 0.07 0.13 | Feas 0.18 1.00 | Pen 18.92 0.10
It  54500  16204 | T(s) 149.90 | Feas 60 37434.09 37434.28 | Inf 44 36384.81 36394.18 | Div 0.06 0.14 | Feas 0.20 1.00 | Pen 19.30 0.10
It  55000  16704 | T(s) 151.26 | Feas 50 37434.09 37434.82 | Inf 41 36736.47 36775.75 | Div 0.08 0.22 | Feas 0.25 1.00 | Pen 27.80 0.10
It  55500  17204 | T(s) 152.67 | Feas 51 37434.09 37434.59 | Inf 28 36565.53 36578.60 | Div 0.08 0.17 | Feas 0.22 1.00 | Pen 23.63 0.10
It  56000  17704 | T(s) 154.09 | Feas 62 37434.09 37434.41 | Inf 28 36585.69 36604.89 | Div 0.07 0.19 | Feas 0.09 1.00 | Pen 24.10 0.10
It  56500  18204 | T(s) 155.41 | Feas 40 37434.09 37435.73 | Inf 55 36451.64 36473.85 | Div 0.10 0.18 | Feas 0.19 1.00 | Pen 20.89 0.10
It  57000  18704 | T(s) 156.72 | Feas 49 37434.09 37434.61 | Inf 59 36487.09 36496.91 | Div 0.08 0.13 | Feas 0.24 1.00 | Pen 21.74 0.10
It  57500  19204 | T(s) 158.00 | Feas 54 37434.09 37434.56 | Inf 32 36233.74 36268.33 | Div 0.07 0.20 | Feas 0.26 1.00 | Pen 15.71 0.10
It  58000  19704 | T(s) 159.44 | Feas 57 37434.09 37434.56 | Inf 29 36542.97 36568.12 | Div 0.07 0.21 | Feas 0.06 1.00 | Pen 23.07 0.10
----- GENETIC ALGORITHM FINISHED AFTER 58298 ITERATIONS. TIME SPENT: 160.238
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-X-n247/Vrp-Set-X-n247-hgs/0.hgs1.tour
