=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-P-n22/Vrp-Set-P-n22-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 6 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 21 CLIENTS AND 6 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.02 | Feas 60 217.85 217.85 | NO-INFEASIBLE | Div 0.00 -1.00 | Feas 1.00 1.00 | Pen 1.46 0.85
It  11000  11002 | T(s) 1.50 | Feas 56 217.85 217.85 | Inf 29 202.89 207.62 | Div 0.00 0.22 | Feas 0.17 1.00 | Pen 0.12 0.10
It  11500  11502 | T(s) 1.57 | Feas 26 217.85 229.28 | Inf 48 206.48 206.72 | Div 0.36 0.11 | Feas 0.25 1.00 | Pen 0.15 0.10
It  12000  12002 | T(s) 1.63 | Feas 62 217.85 217.85 | Inf 27 206.48 212.12 | Div 0.00 0.25 | Feas 0.20 1.00 | Pen 0.15 0.10
It  12500  12502 | T(s) 1.70 | Feas 28 217.85 226.69 | Inf 60 206.91 207.05 | Div 0.32 0.09 | Feas 0.23 1.00 | Pen 0.15 0.10
It  13000  13002 | T(s) 1.77 | Feas 64 217.85 217.85 | Inf 41 203.62 204.22 | Div 0.00 0.13 | Feas 0.20 1.00 | Pen 0.13 0.10
It  13500  13502 | T(s) 1.84 | Feas 32 217.85 222.97 | Inf 30 200.81 205.36 | Div 0.26 0.21 | Feas 0.17 1.00 | Pen 0.11 0.10
It  14000  14002 | T(s) 1.91 | Feas 35 217.85 221.28 | Inf 33 203.99 206.37 | Div 0.22 0.18 | Feas 0.19 1.00 | Pen 0.13 0.10
It  14500  14502 | T(s) 1.97 | Feas 50 217.85 218.03 | Inf 57 201.13 201.24 | Div 0.02 0.05 | Feas 0.19 1.00 | Pen 0.11 0.10
It  15000  15002 | T(s) 2.04 | Feas 52 217.85 217.85 | Inf 59 208.72 208.77 | Div 0.00 0.06 | Feas 0.14 1.00 | Pen 0.16 0.10
It  15500  15502 | T(s) 2.11 | Feas 60 217.85 217.85 | Inf 34 202.47 204.49 | Div 0.00 0.17 | Feas 0.26 1.00 | Pen 0.12 0.10
It  16000  16002 | T(s) 2.18 | Feas 25 217.85 230.68 | Inf 45 206.39 207.22 | Div 0.37 0.13 | Feas 0.50 1.00 | Pen 0.14 0.10
It  16500  16502 | T(s) 2.24 | Feas 28 217.85 226.69 | Inf 28 203.17 207.81 | Div 0.32 0.21 | Feas 0.17 1.00 | Pen 0.12 0.10
It  17000  17002 | T(s) 2.31 | Feas 62 217.85 217.85 | Inf 64 206.82 206.96 | Div 0.00 0.06 | Feas 0.18 1.00 | Pen 0.15 0.10
It  17500  17502 | T(s) 2.38 | Feas 39 217.85 220.13 | Inf 49 207.71 208.66 | Div 0.17 0.14 | Feas 0.22 1.00 | Pen 0.15 0.10
It  18000  18002 | T(s) 2.44 | Feas 31 217.85 224.15 | Inf 25 208.16 215.12 | Div 0.27 0.27 | Feas 0.23 1.00 | Pen 0.16 0.10
It  18500  18502 | T(s) 2.51 | Feas 37 217.85 219.73 | Inf 40 204.68 206.25 | Div 0.16 0.17 | Feas 0.20 1.00 | Pen 0.13 0.10
It  19000  19002 | T(s) 2.57 | Feas 31 217.85 223.84 | Inf 60 205.07 205.16 | Div 0.28 0.08 | Feas 0.32 1.00 | Pen 0.14 0.10
It  19500  19502 | T(s) 2.64 | Feas 46 217.85 219.15 | Inf 55 209.10 209.24 | Div 0.10 0.10 | Feas 0.22 1.00 | Pen 0.16 0.10
----- GENETIC ALGORITHM FINISHED AFTER 20000 ITERATIONS. TIME SPENT: 2.7077
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-P-n22/Vrp-Set-P-n22-hgs/0.hgs1.tour
