=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-F-n72/Vrp-Set-F-n72-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 8 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 71 CLIENTS AND 8 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 0.08 | Feas 59 246.79 251.77 | Inf 1 250.28 250.28 | Div 0.18 -nan | Feas 0.99 1.00 | Pen 0.10 0.85
It  13500  12962 | T(s) 5.37 | Feas 57 241.97 244.29 | Inf 64 249.81 250.11 | Div 0.16 0.06 | Feas 0.68 1.00 | Pen 0.10 0.10
It  14000  13462 | T(s) 5.56 | Feas 35 241.97 244.51 | Inf 39 249.81 250.98 | Div 0.19 0.15 | Feas 0.82 1.00 | Pen 0.10 0.10
It  14500  13962 | T(s) 5.75 | Feas 46 241.97 244.87 | Inf 62 249.81 250.10 | Div 0.17 0.07 | Feas 0.72 1.00 | Pen 0.10 0.10
It  15000  14462 | T(s) 5.93 | Feas 29 241.97 246.23 | Inf 29 249.81 252.99 | Div 0.23 0.23 | Feas 0.66 1.00 | Pen 0.10 0.10
It  15500  14962 | T(s) 6.12 | Feas 51 241.97 244.19 | Inf 55 249.81 250.25 | Div 0.16 0.09 | Feas 0.70 1.00 | Pen 0.10 0.10
It  16000  15462 | T(s) 6.31 | Feas 39 241.97 245.05 | Inf 64 249.81 249.94 | Div 0.20 0.05 | Feas 0.65 1.00 | Pen 0.10 0.10
It  16500  15962 | T(s) 6.51 | Feas 26 241.97 245.53 | Inf 30 249.81 252.20 | Div 0.22 0.21 | Feas 0.74 1.00 | Pen 0.10 0.10
It  17000  16462 | T(s) 6.69 | Feas 50 241.97 245.23 | Inf 41 249.81 251.09 | Div 0.18 0.16 | Feas 0.72 1.00 | Pen 0.10 0.10
It  17500  16962 | T(s) 6.89 | Feas 49 241.97 244.91 | Inf 30 249.81 251.99 | Div 0.18 0.21 | Feas 0.68 1.00 | Pen 0.10 0.10
It  18000  17462 | T(s) 7.09 | Feas 36 241.97 245.14 | Inf 54 249.81 250.25 | Div 0.19 0.08 | Feas 0.67 1.00 | Pen 0.10 0.10
It  18500  17962 | T(s) 7.28 | Feas 58 241.97 243.66 | Inf 34 249.81 252.59 | Div 0.13 0.21 | Feas 0.75 1.00 | Pen 0.10 0.10
It  19000  18462 | T(s) 7.46 | Feas 29 241.97 246.57 | Inf 40 249.81 251.81 | Div 0.24 0.18 | Feas 0.68 1.00 | Pen 0.10 0.10
It  19500  18962 | T(s) 7.64 | Feas 53 241.97 243.87 | Inf 56 249.81 250.23 | Div 0.15 0.09 | Feas 0.72 1.00 | Pen 0.10 0.10
It  20000  19462 | T(s) 7.84 | Feas 32 241.97 245.58 | Inf 28 249.81 252.72 | Div 0.22 0.23 | Feas 0.74 1.00 | Pen 0.10 0.10
It  20500  19962 | T(s) 8.03 | Feas 57 241.97 245.01 | Inf 29 249.81 252.56 | Div 0.18 0.22 | Feas 0.82 1.00 | Pen 0.10 0.10
----- GENETIC ALGORITHM FINISHED AFTER 20540 ITERATIONS. TIME SPENT: 8.04481
----- WRITING BEST SOLUTION IN : baseline_results/cvrp_hgs/Vrp-Set-F-n72/Vrp-Set-F-n72-hgs/0.hgs1.tour
